feature	p_value	HR	HR_low	HR_high	present	absent	present_MGUS	present_SMM	FDR
radiology	0.264412355409208	26278148.1195556	0	Inf	70	2	3	67	0.714360994743289
CNV_chr3.gain	0.0333544598621532	1.77212511598063	1.03826493989761	3.02468792502913	53	112	11	42	0.24650574280394
CNV_chr5.gain	0.315866211374235	1.30986426441477	0.771022656348131	2.22528401346505	66	99	16	50	0.72529089725842
CNV_chr7.gain	0.324926678711959	1.31765811974393	0.759892943651219	2.28482569160953	49	116	10	39	0.72529089725842
CNV_chr9.gain	0.373562303793348	1.27684776455579	0.744104225731256	2.19101055668501	88	77	19	69	0.73235376033224
CNV_chr11.gain	0.493172862299477	1.20328741085255	0.706874358897337	2.04831392579415	66	99	17	49	0.777695667472252
CNV_chr15.gain	0.0154944913659358	1.91342894278816	1.12057597328172	3.26725755896512	70	95	14	56	0.13491746981973
CNV_chr19.gain	0.1460043554936	1.48196446835148	0.86896291844562	2.52740207762241	78	87	17	61	0.591719278628611
CNV_chr21.gain	0.163564678645307	1.51130570511092	0.841567100180149	2.71403781565592	38	127	8	30	0.591719278628611
CNV_chr18.gain	0.234769533370469	1.49220850645786	0.768354460203174	2.89799349398766	23	142	4	19	0.711697136323167
CNV_Gain_Amp1q	0.991706573630185	1.00297633294495	0.569703573596497	1.76576305831671	58	107	9	49	0.991706573630185
CNV_Amp_17q22	0.605447528451623	0.810683317190818	0.365598313385153	1.79762164296187	25	140	7	18	0.809457021734235
CNV_Amp_2q24.3	0.43214179827753	1.40267022868799	0.599796348874847	3.28025299610178	13	152	2	11	0.738242238724114
CNV_Amp_2q32.1	0.50668743142212	1.33143873378372	0.569465898783113	3.11296796806924	14	151	2	12	0.788893089429377
CNV_Amp_4q13.2	0.579539335441861	1.25128652009007	0.56553590472512	2.76855623538199	18	147	3	15	0.796864413077143
CNV_Amp_6p24.3	0.338437242675802	1.34588650750007	0.731270614904135	2.47707271993719	36	129	6	30	0.725910041523933
CNV_Amp_8q24.21	0.64885200913416	1.23757335374783	0.492521239272914	3.10968884949543	13	152	1	12	0.83167608495796
CNV_chr8p.loss	0.264656631191736	1.42339730290826	0.762816454378216	2.65602540466696	32	133	4	28	0.714360994743289
CNV_Del_10p15.3	0.342299043970635	1.46800145741118	0.661790209998546	3.2563616783725	18	147	1	17	0.725910041523933
CNV_Del_10q24.32	0.000124927643717148	10.0965565926338	2.33820179098187	43.5978004214294	3	162	0	3	0.00307322003544184
CNV_Del_10q26.3	0.232496776145827	2.31412002299701	0.559568706619422	9.57014110597482	5	160	1	4	0.711697136323167
CNV_Del_11q22.1	0.426139126803878	1.60130486100855	0.498202025049396	5.14686237502824	7	158	0	7	0.738241022491225
CNV_Del_12p13.2	0.32615534273291	1.58301001757749	0.628432264614517	3.98757488571633	9	156	1	8	0.72529089725842
CNV_Del_12q24.31	0.147252666039853	2.0967689775349	0.753884938402729	5.83171240225011	7	158	1	6	0.591719278628611
CNV_Del_14q24.3	0.852923297521393	0.93718661914863	0.471932478773421	1.86111106697729	30	135	4	26	0.953723323592103
CNV_Del_20p13	0.398924406034635	0.608464664256827	0.189675827334906	1.95190527359856	14	151	4	10	0.73235376033224
CNV_Del_20q13.12	0.693805818868006	0.792017073040935	0.246696900956876	2.54276013016469	12	153	5	7	0.838191527332603
CNV_Del_22q13.32	0.909591813936213	1.04231755875098	0.509581685756711	2.13199556351263	25	140	2	23	0.964480975122019
CNV_Del_2q31.1	0.0123693421589948	2.84209206930498	1.20776555561717	6.68795967300015	6	159	0	6	0.117033006581258
CNV_Del_2q37.3	0.162464327566941	2.66188446917943	0.636124673513819	11.1387424859959	4	161	1	3	0.591719278628611
CNV_Del_6q26	0.306865574096439	1.42702973041195	0.718877619519067	2.83276846599005	24	141	5	19	0.72529089725842
CNV_Del_7p11.2	0.284582835304237	0.355147996430234	0.0489652077643972	2.57591267610467	7	158	2	5	0.714360994743289
CNV_Del_7p22.2	0.75611073091826	1.17499074974857	0.423113911343616	3.26295880371917	11	154	1	10	0.877373772669302
CNV_Del_8q24.21	0.0340698994119266	2.21145454825014	1.04045285483071	4.70038714033994	14	151	1	13	0.24650574280394
CNV_Del_9p21.3	0.330213741841232	0.000000102431690041741	0	Inf	1	164	0	1	0.72529089725842
CNV.SNV_ARID1A	0.817836980017994	1.12834665147859	0.405766533165056	3.13768155291667	8	157	2	6	0.93959606277072
CNV.SNV_ARID2	0.10015144963371	2.13633234406325	0.847957065790715	5.38224878170568	9	156	1	8	0.492745132197853
CNV.SNV_ATM	0.900524137012568	1.07942455357787	0.335537226839587	3.47251295434894	12	153	2	10	0.964480975122019
CNV.SNV_BTG1	0.156271502728148	1.83405943694354	0.783105151269779	4.29543084065712	12	153	1	11	0.591719278628611
CNV.SNV_CDKN1B	0.237232378774389	1.73284860224905	0.689008275068338	4.35809610271905	9	156	1	8	0.711697136323167
CNV.SNV_CDKN2C	0.695085656812403	1.22810135026817	0.440374064620863	3.42489044587359	7	158	1	6	0.838191527332603
CNV.SNV_CREBBP	0.0164533499780158	2.43909842538547	1.14899076447588	5.17776235689035	13	152	1	12	0.13491746981973
CNV.SNV_CYLD	0.150544493781429	1.64435258182475	0.828118715365001	3.2651060327286	21	144	4	17	0.591719278628611
CNV.SNV_DNMT3A	0.03843323025343	2.58129861562341	1.0176160826282	6.54775671961721	8	157	0	8	0.262627073398438
